timestamp,position_x,position_y,position_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1745691304541,-20.54370890096381,4.168744995317044,0.0,-0.7445967,1.1731589,9.706094,0.002443461,-0.12767084,-0.16676621,-48.382004,-28.889002,-45.949
1745691304551,-20.538912579023336,4.168721014377422,0.0,-0.6871359,1.2018893,9.627085,0.009162978,-0.13622294,-0.16554448,-48.274002,-28.253002,-46.699
1745691304561,-20.53411625708286,4.168697033437798,0.0,-0.61530983,1.2497733,9.531317,0.0036651916,-0.12950343,-0.16310102,-47.971,-28.354002,-47.009003
1745691304571,-20.529319935142386,4.168673052498176,0.0,-0.5746084,1.2617443,9.531317,-0.014049901,-0.12339478,-0.17715092,-47.458004,-27.715002,-47.113003
1745691304581,-20.52452361320191,4.168649071558552,0.0,-0.62009823,1.2545617,9.607931,-0.030543262,-0.12950343,-0.1881465,-47.662003,-27.718,-46.693
1745691304591,-20.519727291261436,4.16862509061893,0.0,-0.58418524,1.2282255,9.701305,-0.040927973,-0.16065755,-0.20891592,-48.076004,-28.674002,-46.051003
1745691304601,-20.51493096932096,4.168601109679306,0.0,-0.5793968,1.1971009,9.835381,-0.057421334,-0.19425514,-0.24007004,-47.472004,-29.296001,-47.303
1745691304611,-20.510134647380486,4.168577128739684,0.0,-0.5267244,1.1085154,9.983821,-0.065973446,-0.22418754,-0.2602286,-46.975002,-30.449001,-47.595
1745691304622,-20.504858693245964,4.168550749706099,0.0,-0.48362875,1.0821792,10.096349,-0.06841691,-0.24312437,-0.2883284,-47.579002,-29.617,-45.177002
1745691304633,-20.499582739111442,4.168524370672513,0.0,-0.49081135,1.1085154,10.220847,-0.06963864,-0.22907446,-0.3231477,-47.664,-28.034,-47.007004
1745691304643,-20.494786417170967,4.16850038973289,0.0,-0.50038815,1.0965444,10.33098,-0.061086524,-0.19181168,-0.33475417,-47.06,-28.343,-46.246002
1745691304655,-20.4890308308424,4.168471612605343,0.0,-0.521936,1.1109096,10.508151,-0.03481932,-0.15821409,-0.3378085,-46.354004,-28.650002,-46.119003
1745691304666,-20.483754876707877,4.168445233571758,0.0,-0.5267244,1.2114661,10.582372,0.029321533,-0.14660765,-0.34574974,-47.276,-29.719002,-44.957
1745691304676,-20.478958554767402,4.168421252632134,0.0,-0.59615624,1.2761095,10.520123,0.089186326,-0.15699236,-0.3481932,-46.750004,-27.706001,-46.248
1745691304687,-20.47368260063288,4.168394873598549,0.0,-0.62488663,1.3263878,10.3214035,0.13316862,-0.18448131,-0.3494149,-46.552002,-28.127,-45.600002
1745691304697,-20.468886278692406,4.168370892658927,0.0,-0.62009823,1.3503298,10.081984,0.15271631,-0.22724187,-0.35796702,-46.458004,-29.072,-46.965004
1745691304707,-20.46408995675193,4.168346911719303,0.0,-0.6392518,1.2641385,9.885659,0.13744467,-0.25595254,-0.36896262,-47.058002,-28.341002,-47.945004
1745691304719,-20.458334370423362,4.168318134591756,0.0,-0.61052144,1.1444284,9.902418,0.076358154,-0.258396,-0.38606682,-47.067,-29.186,-46.659
1745691304729,-20.453538048482887,4.168294153652133,0.0,-0.48362875,1.1085154,10.108319,0.021380283,-0.24556783,-0.40439278,-46.553,-28.023,-44.434002
1745691304740,-20.448262094348365,4.168267774618548,0.0,-0.2681506,1.0510546,10.431537,-0.02321288,-0.18570304,-0.43982297,-46.056004,-29.384,-45.996002
1745691304751,-20.442986140213844,4.168241395584963,0.0,-0.15322891,1.0366893,10.66138,-0.025045475,-0.12950343,-0.47342056,-45.747,-28.644001,-44.832
1745691304761,-20.43818981827337,4.16821741464534,0.0,-0.20350714,0.9959879,10.771513,0.0030543262,-0.108123146,-0.50579643,-45.752003,-29.171001,-44.931004
1745691304771,-20.433393496332894,4.168193433705717,0.0,-0.2633622,0.94570965,10.637438,0.06780604,-0.108123146,-0.52106804,-45.459003,-30.328001,-44.483
1745691304781,-20.428597174392422,4.168169452766094,0.0,-0.272939,1.0007763,10.390836,0.108123146,-0.14477506,-0.5314528,-44.949,-30.108002,-45.537003
1745691304791,-20.423800852451947,4.168145471826471,0.0,-0.1388637,0.9744401,10.084377,0.116675265,-0.15760323,-0.54061574,-44.638,-29.469002,-47.025
1745691304801,-20.419004530511472,4.168121490886848,0.0,0.007182605,0.89543146,9.892841,0.10934488,-0.14782938,-0.56138515,-46.865,-29.184002,-46.336002
1745691304811,-20.414208208570997,4.168097509947225,0.0,-0.20350714,0.85473,10.041282,0.093462385,-0.14049901,-0.5925393,-45.750004,-28.960001,-44.827003
1745691304821,-20.409411886630522,4.168073529007602,0.0,-0.24420857,0.7541735,10.228029,0.09773844,-0.13805555,-0.59742624,-44.852,-30.425001,-44.68
1745691304832,-20.404135932496,4.168047149974017,0.0,-0.20350714,0.6607997,10.395624,0.13072516,-0.1160644,-0.6017023,-45.867,-30.963001,-46.182003
1745691304843,-20.39885997836148,4.168020770940432,0.0,-0.25857377,0.60812724,10.522516,0.19181168,-0.06719518,-0.5992588,-44.539,-29.576002,-45.322002
1745691304854,-20.393584024226957,4.167994391906847,0.0,-0.29927522,0.533907,10.477027,0.23762658,-0.06352998,-0.6072,-46.065002,-30.230001,-45.029003
1745691304864,-20.388787702286482,4.167970410967223,0.0,-0.36870706,0.51954174,10.292673,0.27916542,-0.07513642,-0.6200282,-45.868004,-30.859001,-45.228
